Name,Link,OfficialTitle,LegisType,BillStage
BILLS-115s3667is,https://www.govinfo.gov/content/pkg/BILLS-115s3667is/xml/BILLS-115s3667is.xml,"To prevent a nuclear arms race resulting from weakened international restrictions on the
			 proliferation of intermediate- and shorter-range missiles, and for other
			 purposes.",A BILL,Introduced-in-Senate
BILLS-115hr147ih,https://www.govinfo.gov/content/pkg/BILLS-115hr147ih/xml/BILLS-115hr147ih.xml,"To prohibit discrimination against the unborn on the basis of sex or race, and for other purposes.",A BILL,Introduced-in-House
BILLS-115s1592is,https://www.govinfo.gov/content/pkg/BILLS-115s1592is/xml/BILLS-115s1592is.xml,"To prohibit the Federal Government from requiring race or ethnicity to be disclosed in connection
			 with the transfer of a firearm.",A BILL,Introduced-in-Senate
BILLS-115hr2095ih,https://www.govinfo.gov/content/pkg/BILLS-115hr2095ih/xml/BILLS-115hr2095ih.xml,"To amend the Fair Labor Standards Act of 1938 to prohibit discrimination in the payment of wages on
			 account of sex, race, or national origin, and for other purposes.",A BILL,Introduced-in-House
BILLS-115s456is,https://www.govinfo.gov/content/pkg/BILLS-115s456is/xml/BILLS-115s456is.xml,"To amend the Federal Food, Drug, and Cosmetic Act to establish a program to increase the
			 development of new drugs to treat pediatric cancers,
			 and for other purposes.",A BILL,Introduced-in-Senate
BILLS-115s54is,https://www.govinfo.gov/content/pkg/BILLS-115s54is/xml/BILLS-115s54is.xml,"To prohibit the creation of an immigration-related registry program that
			 classifies people on the basis of religion, race, age, gender, ethnicity,
			 national
			 origin, nationality, or citizenship.",A BILL,Introduced-in-Senate
BILLS-115hr1231ih,https://www.govinfo.gov/content/pkg/BILLS-115hr1231ih/xml/BILLS-115hr1231ih.xml,"To amend the Federal Food, Drug, and Cosmetic Act to establish a program to increase the
			 development of new drugs to treat pediatric cancers, and for other
			 purposes.",A BILL,Introduced-in-House
BILLS-115hr149ih,https://www.govinfo.gov/content/pkg/BILLS-115hr149ih/xml/BILLS-115hr149ih.xml,"To authorize funds to prevent housing discrimination through the use of nationwide testing, to
			 increase funds for the Fair Housing Initiatives Program, and for other
			 purposes.",A BILL,Introduced-in-House
BILLS-115hr6390ih,https://www.govinfo.gov/content/pkg/BILLS-115hr6390ih/xml/BILLS-115hr6390ih.xml,"To direct the Administrator of the Small Business Administration to study and identify best
			 practices for closing the gender, race, and income gap in patenting rates
			 for certain small business concerns, and for other purposes.",A BILL,Introduced-in-House
BILLS-115s3321is,https://www.govinfo.gov/content/pkg/BILLS-115s3321is/xml/BILLS-115s3321is.xml,"To award Congressional Gold Medals to Katherine Johnson and Dr. Christine Darden and to
			 posthumously award Congressional Gold Medals to Dorothy Vaughan and Mary
			 Jackson in recognition of their contributions to the success of the
			 National Aeronautics and Space Administration during the Space Race.",A BILL,Introduced-in-Senate
BILLS-115sres56is,https://www.govinfo.gov/content/pkg/BILLS-115sres56is/xml/BILLS-115sres56is.xml,"Expressing the sense of the Senate that the United States should remain a global leader in
			 welcoming and providing refuge to refugees and asylum seekers and that no
			 person should be
			 banned from entering the United States because of their nationality,
			 race, ethnicity, religion, sexual orientation, gender identity, or gender.",RESOLUTION,
BILLS-115hres291ih,https://www.govinfo.gov/content/pkg/BILLS-115hres291ih/xml/BILLS-115hres291ih.xml,"Promoting and supporting the goals and ideals of the Fair Housing Act and recognizing April 2017 as
			 Fair Housing Month, which includes bringing attention to the
			 discrimination faced by every-day Americans in the United States in
			 housing and housing-related transactions on the basis of race, color,
			 national origin, sex, familial status, disability, and religion.",RESOLUTION,
BILLS-115hres817ih,https://www.govinfo.gov/content/pkg/BILLS-115hres817ih/xml/BILLS-115hres817ih.xml,"Promoting and supporting the goals and ideals of the Fair Housing Act and recognizing April 2018 as Fair Housing Month, which includes bringing attention to the discrimination faced by every-day Americans in the United States in housing and housing-related transactions on the basis of race, color, national origin, sex, familial status, disability, and religion.",RESOLUTION,
BILLS-115sres70is,https://www.govinfo.gov/content/pkg/BILLS-115sres70is/xml/BILLS-115sres70is.xml,"Recognizing the 75th anniversary of Executive Order 9066 and expressing the sense of the Senate
			 that policies that discriminate against any individual based on the actual
			 or perceived race, ethnicity, national origin, or religion of that
			 individual would be a repetition of the mistakes of Executive Order 9066
			 and contrary to the values of the United States. ",RESOLUTION,
BILLS-115s3321rfh,https://www.govinfo.gov/content/pkg/BILLS-115s3321rfh/xml/BILLS-115s3321rfh.xml,"To award Congressional Gold Medals to Katherine Johnson and Dr. Christine Darden, to
			 posthumously award Congressional Gold Medals to Dorothy Vaughan and Mary
			 Jackson, and to award a Congressional Gold Medal to  honor all of the
			 women who contributed to the success
			 of the National Aeronautics and Space Administration during the Space
			 Race.",AN ACT,Referred-in-House
BILLS-115s3321es,https://www.govinfo.gov/content/pkg/BILLS-115s3321es/xml/BILLS-115s3321es.xml,"To award Congressional Gold Medals to Katherine Johnson and Dr. Christine Darden, to
			 posthumously award Congressional Gold Medals to Dorothy Vaughan and Mary
			 Jackson, and to award a Congressional Gold Medal to  honor all of the
			 women who contributed to the success
			 of the National Aeronautics and Space Administration during the Space
			 Race.",AN ACT,Engrossed-in-Senate
BILLS-115hres706ih,https://www.govinfo.gov/content/pkg/BILLS-115hres706ih/xml/BILLS-115hres706ih.xml,Expressing support for the designation of a ,RESOLUTION,
BILLS-115hres902ih,https://www.govinfo.gov/content/pkg/BILLS-115hres902ih/xml/BILLS-115hres902ih.xml,"Expressing the sense of the House of Representatives regarding the obligation of the Office for Civil Rights of the Department of Education and the Civil Rights Division of the Department of Justice to enforce title VI of the Civil Rights Act of 1964 and its implementing regulations, and for other purposes.",RESOLUTION,
BILLS-115sres383is,https://www.govinfo.gov/content/pkg/BILLS-115sres383is/xml/BILLS-115sres383is.xml,Expressing support for the designation of a ,RESOLUTION,
BILLS-115hres139ih,https://www.govinfo.gov/content/pkg/BILLS-115hres139ih/xml/BILLS-115hres139ih.xml,"Expressing support for the designation of the week beginning on February 19, 2017, as ",RESOLUTION,
BILLS-115s3271is,https://www.govinfo.gov/content/pkg/BILLS-115s3271is/xml/BILLS-115s3271is.xml,"To prohibit the use of payment of money as a condition of pretrial release in Federal criminal
			 cases, and for other purposes.",A BILL,Introduced-in-Senate
BILLS-115hr2282ih,https://www.govinfo.gov/content/pkg/BILLS-115hr2282ih/xml/BILLS-115hr2282ih.xml,"To prohibit discrimination on the basis of sex, gender identity, and sexual orientation, and for
			 other purposes.",A BILL,Introduced-in-House
BILLS-115hr1566ih,https://www.govinfo.gov/content/pkg/BILLS-115hr1566ih/xml/BILLS-115hr1566ih.xml,"To provide incentives for hate crime reporting, grants for State-run hate crime hotlines, a Federal
			 private right of action for victims of hate crimes, and additional
			 penalties for individuals convicted under the Matthew Shephard and James
			 Byrd, Jr. Hate Crimes Prevention Act.",A BILL,Introduced-in-House
BILLS-115s1006is,https://www.govinfo.gov/content/pkg/BILLS-115s1006is/xml/BILLS-115s1006is.xml,"To prohibit discrimination on the basis of sex, gender identity, and sexual orientation, and for
			 other purposes. ",A BILL,Introduced-in-Senate
BILLS-115s662is,https://www.govinfo.gov/content/pkg/BILLS-115s662is/xml/BILLS-115s662is.xml,"To provide incentives for hate crime reporting, grants for State-run hate crime hotlines, a Federal
			 private right of action for victims of hate crimes, and additional
			 penalties for individuals convicted under the Matthew Shephard and James
			 Byrd, Jr. Hate Crimes Prevention Act.",A BILL,Introduced-in-Senate
BILLS-115hres646lth,https://www.govinfo.gov/content/pkg/BILLS-115hres646lth/xml/BILLS-115hres646lth.xml,"Impeaching Donald John Trump, President of the United States, of high misdemeanors.",RESOLUTION,
BILLS-115hr3520ih,https://www.govinfo.gov/content/pkg/BILLS-115hr3520ih/xml/BILLS-115hr3520ih.xml,"To prohibit discrimination in public accommodations on the basis of sex, gender identity, and
			 sexual orientation, and for other purposes.",A BILL,Introduced-in-House
BILLS-115hr651ih,https://www.govinfo.gov/content/pkg/BILLS-115hr651ih/xml/BILLS-115hr651ih.xml,To protect unpaid interns from workplace harassment and discrimination.,A BILL,Introduced-in-House
BILLS-115hr1447ih,https://www.govinfo.gov/content/pkg/BILLS-115hr1447ih/xml/BILLS-115hr1447ih.xml,"To extend the protections of the Fair Housing Act to persons suffering discrimination on the basis of sex or sexual orientation, and for other purposes.",A BILL,Introduced-in-House
BILLS-115hr3239ih,https://www.govinfo.gov/content/pkg/BILLS-115hr3239ih/xml/BILLS-115hr3239ih.xml,"To amend the Voting Rights Act of 1965 to revise the criteria for determining which States and
			 political subdivisions are subject to section 4 of the Act, and for other
			 purposes.",A BILL,Introduced-in-House
BILLS-115s1328is,https://www.govinfo.gov/content/pkg/BILLS-115s1328is/xml/BILLS-115s1328is.xml,"To extend the protections of the Fair Housing Act to persons suffering discrimination on the basis
			 of sexual orientation or gender identity, and for other purposes.",A BILL,Introduced-in-Senate
BILLS-115s1143is,https://www.govinfo.gov/content/pkg/BILLS-115s1143is/xml/BILLS-115s1143is.xml,"To amend the Equal Credit Opportunity Act to prohibit discrimination on account of sexual
			 orientation or gender identity when extending credit.",A BILL,Introduced-in-Senate
BILLS-115hr2498ih,https://www.govinfo.gov/content/pkg/BILLS-115hr2498ih/xml/BILLS-115hr2498ih.xml,To amend the Equal Credit Opportunity Act to prohibit discrimination on account of sexual orientation or gender identity when extending credit.,A BILL,Introduced-in-House
BILLS-115hr4019ih,https://www.govinfo.gov/content/pkg/BILLS-115hr4019ih/xml/BILLS-115hr4019ih.xml,"To provide grants to States and Indian tribes to reform their criminal justice system to encourage
			 the replacement of the use of payment of secured money bail as a condition
			 of pretrial release in criminal cases, and for other purposes.",A BILL,Introduced-in-House
BILLS-115s1593is,https://www.govinfo.gov/content/pkg/BILLS-115s1593is/xml/BILLS-115s1593is.xml,"To provide grants to States and Indian tribes to reform their criminal justice system to encourage
			 the replacement of
			 the use of payment of secured money bail as a condition of pretrial
			 release in criminal cases, and for other purposes. ",A BILL,Introduced-in-Senate
BILLS-115hres452ih,https://www.govinfo.gov/content/pkg/BILLS-115hres452ih/xml/BILLS-115hres452ih.xml,"Expressing the sense of the House of Representatives regarding the necessity to publically
			 exonerate the African-American sailors of the United States Navy who were
			 tried and convicted of mutiny in connection with their service at the Port
			 Chicago Naval Magazine in Concord, California, during World War II in
			 order to further aid in healing the racial divide that continues to exist
			 in the United States.",RESOLUTION,
BILLS-115hr6905ih,https://www.govinfo.gov/content/pkg/BILLS-115hr6905ih/xml/BILLS-115hr6905ih.xml,"To amend the Homeland Security Act of 2002 to require the Secretary of Homeland Security to
			 establish a commission to enhance cultural competence and improve
			 recruitment and outreach efforts at the Coast Guard Academy, to amend
			 title 14, United States Code, to modify the process for congressional
			 nomination of individuals for appointment as cadets at the Coast Guard
			 Academy, and for other purposes.",A BILL,Introduced-in-House
BILLS-115s1419is,https://www.govinfo.gov/content/pkg/BILLS-115s1419is/xml/BILLS-115s1419is.xml,"To amend the Voting Rights Act of 1965 to revise the criteria for determining which States and
			 political subdivisions are subject to section 4 of the Act, and for other
			 purposes.",A BILL,Introduced-in-Senate
BILLS-115hr2978ih,https://www.govinfo.gov/content/pkg/BILLS-115hr2978ih/xml/BILLS-115hr2978ih.xml,"To amend the Voting Rights Act of 1965 to revise the criteria for determining which States and political subdivisions are subject to section 4 of the Act, and for other purposes.",A BILL,Introduced-in-House
BILLS-115hconres78ih,https://www.govinfo.gov/content/pkg/BILLS-115hconres78ih/xml/BILLS-115hconres78ih.xml,"Denouncing and opposing the violence, xenophobia, and bigotry that are promoted by White
			 nationalists and neo-Nazis.",CONCURRENT RESOLUTION,
BILLS-115s2940is,https://www.govinfo.gov/content/pkg/BILLS-115s2940is/xml/BILLS-115s2940is.xml,"To provide for the consideration of a definition of anti-Semitism for the enforcement of Federal
			 antidiscrimination laws concerning education programs or activities. ",A BILL,Introduced-in-Senate
BILLS-115hr6707ih,https://www.govinfo.gov/content/pkg/BILLS-115hr6707ih/xml/BILLS-115hr6707ih.xml,"To establish certain standards for the adjudication of United States passport applications, and for
			 other purposes.",A BILL,Introduced-in-House
BILLS-115hr5924ih,https://www.govinfo.gov/content/pkg/BILLS-115hr5924ih/xml/BILLS-115hr5924ih.xml,"To provide for the consideration of a definition of anti-Semitism for the enforcement of Federal
			 antidiscrimination laws concerning education programs or activities.",A BILL,Introduced-in-House
BILLS-115hr4527ih,https://www.govinfo.gov/content/pkg/BILLS-115hr4527ih/xml/BILLS-115hr4527ih.xml,"To direct the Assistant Secretary of Commerce for Communications and Information to prepare and
			 submit periodic reports to Congress on the role of telecommunications in
			 hate crimes.",A BILL,Introduced-in-House
BILLS-115hr4093ih,https://www.govinfo.gov/content/pkg/BILLS-115hr4093ih/xml/BILLS-115hr4093ih.xml,"To amend the Higher Education Act of 1965 to strengthen prevention and response measures for hate
			 crimes on college campuses by establishing robust accountability measures,
			 providing needs-based grants, and amending the Clery Act.",A BILL,Introduced-in-House
BILLS-115hr1983ih,https://www.govinfo.gov/content/pkg/BILLS-115hr1983ih/xml/BILLS-115hr1983ih.xml,"To enhance Federal enforcement of hate crimes, and for other purposes.",A BILL,Introduced-in-House
BILLS-115sres545ats,https://www.govinfo.gov/content/pkg/BILLS-115sres545ats/xml/BILLS-115sres545ats.xml,"Honoring the memory of the victims of the terrorist attack on the Pulse Orlando nightclub on June
			 12, 2016.",RESOLUTION,
BILLS-115hres511ih,https://www.govinfo.gov/content/pkg/BILLS-115hres511ih/xml/BILLS-115hres511ih.xml,Expressing support for designation of September as ,RESOLUTION,
BILLS-115hr6315ih,https://www.govinfo.gov/content/pkg/BILLS-115hr6315ih/xml/BILLS-115hr6315ih.xml,To provide women with increased access to preventive and life-saving cancer screening.,A BILL,Introduced-in-House
BILLS-115hres1071eh,https://www.govinfo.gov/content/pkg/BILLS-115hres1071eh/xml/BILLS-115hres1071eh.xml,Recognizing that allowing illegal immigrants the right to vote devalues the franchise and diminishes the voting power of United States citizens.,RESOLUTION,
BILLS-115hr4100eh,https://www.govinfo.gov/content/pkg/BILLS-115hr4100eh/xml/BILLS-115hr4100eh.xml,"To amend title 36, United States Code, to revise the Federal charter for the Foundation of the Federal Bar Association.",AN ACT,Engrossed-in-House
BILLS-115hr4100rfs,https://www.govinfo.gov/content/pkg/BILLS-115hr4100rfs/xml/BILLS-115hr4100rfs.xml,"To amend title 36, United States Code, to revise the Federal charter for the Foundation of the
			 Federal Bar Association.",AN ACT,Referred-in-Senate
BILLS-115s2250is,https://www.govinfo.gov/content/pkg/BILLS-115s2250is/xml/BILLS-115s2250is.xml,"To ensure due process protections of individuals in the United States against unlawful detention
			 based solely on a protected characteristic. ",A BILL,Introduced-in-Senate
BILLS-115sres190ats,https://www.govinfo.gov/content/pkg/BILLS-115sres190ats/xml/BILLS-115sres190ats.xml,"Honoring the memory of the victims of the terrorist attack on the Pulse Orlando nightclub one year
			 ago.",RESOLUTION,
BILLS-115hr4680ih,https://www.govinfo.gov/content/pkg/BILLS-115hr4680ih/xml/BILLS-115hr4680ih.xml,"To ensure due process protections of individuals in the United States against unlawful detention
			 based solely on a protected characteristic.",A BILL,Introduced-in-House
BILLS-115hr151ih,https://www.govinfo.gov/content/pkg/BILLS-115hr151ih/xml/BILLS-115hr151ih.xml,"To require any State which, after enacting a Congressional redistricting plan after a decennial
			 census and apportionment of Representatives, enacts a subsequent
			 Congressional redistricting plan prior to the next decennial census and
			 apportionment of Representatives, to obtain a declaratory judgment or
			 preclearance in the manner provided under section 5 of the Voting Rights
			 Act of 1965 in order for the subsequent plan to take effect.",A BILL,Introduced-in-House
BILLS-115hr713ih,https://www.govinfo.gov/content/pkg/BILLS-115hr713ih/xml/BILLS-115hr713ih.xml,"To require States to carry out Congressional redistricting in accordance with a process under which
			 members of the public are informed of redistricting proposals and have the
			 opportunity to participate in the development of such proposals prior to
			 their adoption, and for other purposes.",A BILL,Introduced-in-House
BILLS-115hr4100ih,https://www.govinfo.gov/content/pkg/BILLS-115hr4100ih/xml/BILLS-115hr4100ih.xml,"To amend title 36, United States Code, to revise the Federal charter for the Foundation of the
			 Federal Bar Association.",A BILL,Introduced-in-House
BILLS-115hres1071ih,https://www.govinfo.gov/content/pkg/BILLS-115hres1071ih/xml/BILLS-115hres1071ih.xml,"Recognizing that allowing illegal immigrants the right to vote devalues the franchise and
			 diminishes the voting power of United States citizens.",RESOLUTION,
BILLS-115hres732ih,https://www.govinfo.gov/content/pkg/BILLS-115hres732ih/xml/BILLS-115hres732ih.xml,Urging Turkey to respect the rights and religious freedoms of the Ecumenical Patriarchate.,RESOLUTION,
BILLS-115s689is,https://www.govinfo.gov/content/pkg/BILLS-115s689is/xml/BILLS-115s689is.xml,"To provide women with increased access to preventive and life-saving
			 cancer screening.",A BILL,Introduced-in-Senate
